Local time: +3:00 UTC
ProcessId: 6832
(14116) 22:45:07.364  d: System runned under native Windows
(14116) 22:45:07.365  m: Starting in normal mode
(14116) 22:45:07.365  m: Executing "default.cfg"
(14116) 22:45:07.366  m: setvar app_always_active = "0"
(14116) 22:45:07.366  m: setvar bloomEnable = "1"
(14116) 22:45:07.366  m: setvar gfx_fullscreen = "1"
(14116) 22:45:07.366  m: setvar gfx_refreshrate = "0"
(14116) 22:45:07.367  d: Could not parse screen resolution settings, using defaults
(14116) 22:45:07.369  m: setvar gfx_resolution = "1920x1080"
(14116) 22:45:07.370  m: setvar gfx_vsync = "1"
(14116) 22:45:07.370  m: setvar grass_fade_distance = "100"
(14116) 22:45:07.370  m: setvar language = "ru-RU"
(14116) 22:45:07.370  m: setvar pfx_enable = "1"
(14116) 22:45:07.370  m: setvar pfx_sharp_enable = "1"
(14116) 22:45:07.370  m: setvar shadows = "1"
(14116) 22:45:07.370  m: setvar shadow_terrain = "1"
(14116) 22:45:07.370  m: setvar shadowPCF4_enable = "1"
(14116) 22:45:07.370  m: setvar waterrefl = "1"
(14116) 22:45:07.370  m: Executing "user.cfg"
(14116) 22:45:07.371  m: setvar app_always_active = "0"
(14116) 22:45:07.371  m: setvar bloomEnable = "1"
(14116) 22:45:07.371  m: setvar camera_link_to_hero = "-1"
(14116) 22:45:07.371  m: setvar camera_pitch = "58.75"
(14116) 22:45:07.371  m: setvar camera_rod = "70"
(14116) 22:45:07.371  m: setvar casual_control_style = "1"
(14116) 22:45:07.371  m: setvar common_graphics_quality = "1"
(14116) 22:45:07.371  m: setvar common_volume = "1"
(14116) 22:45:07.371  m: setvar console_limit = "100"
(14116) 22:45:07.371  m: setvar console_opacity = "0.4"
(14116) 22:45:07.371  m: setvar console_peep = "0"
(14116) 22:45:07.371  m: setvar console_size = "0.5"
(14116) 22:45:07.371  m: setvar console_sweep_time = "0.25"
(14116) 22:45:07.371  m: setvar current_pet = "-1"
(14116) 22:45:07.371  m: setvar enableRESZ = "0"
(14116) 22:45:07.371  m: setvar enable_cursor_clip = "1"
(14116) 22:45:07.371  m: setvar enable_replay = "1"
(14116) 22:45:07.371  m: setvar gfx_fullscreen = "1"
(14116) 22:45:07.371  m: setvar gfx_refreshrate = "0"
(14116) 22:45:07.371  m: setvar gfx_resolution = "1920x1080"
(14116) 22:45:07.371  m: setvar gfx_scale3D = "1"
(14116) 22:45:07.371  m: setvar gfx_skip_mip_levels = "0"
(14116) 22:45:07.371  m: setvar gfx_vsync = "1"
(14116) 22:45:07.371  m: setvar grass_fade_distance = "100"
(14116) 22:45:07.371  m: setvar grass_fade_length = "100"
(14116) 22:45:07.371  m: setvar last_map = ""
(14116) 22:45:07.371  m: setvar lock_actionbar = "0"
(14116) 22:45:07.371  m: setvar lock_camera = "0"
(14116) 22:45:07.371  m: setvar minimap_rotate = "0"
(14116) 22:45:07.371  m: setvar music_volume = "0"
(14116) 22:45:07.372  m: setvar pfx_enable = "1"
(14116) 22:45:07.372  m: setvar pfx_read_enable = "1"
(14116) 22:45:07.372  m: setvar pfx_sharp_enable = "1"
(14116) 22:45:07.372  m: setvar register_replay_extention = "1"
(14116) 22:45:07.372  m: setvar rndr_disableTriLinear = "0"
(14116) 22:45:07.372  m: setvar screenshot_ext = "jpg"
(14116) 22:45:07.372  m: setvar session_camera = ""
(14116) 22:45:07.372  m: setvar session_chat_off = "0"
(14116) 22:45:07.372  m: setvar shadowMapScale = "0.625"
(14116) 22:45:07.372  m: setvar shadowPCF4_enable = "1"
(14116) 22:45:07.372  m: setvar shadowTest = "1"
(14116) 22:45:07.372  m: setvar shadow_terrain = "1"
(14116) 22:45:07.372  m: setvar shadows = "1"
(14116) 22:45:07.372  m: setvar sound_background_enable = "0"
(14116) 22:45:07.372  m: setvar sound_volume = "0.111111"
(14116) 22:45:07.372  m: setvar use_badwords_filter = "0"
(14116) 22:45:07.372  m: setvar voice_volume = "0"
(14116) 22:45:07.372  m: setvar waterReflCoeff = "0.5"
(14116) 22:45:07.372  m: setvar waterrefl = "1"
(14116) 22:45:07.372  m: setvar window_pos_x = "963"
(14116) 22:45:07.372  m: setvar window_pos_y = "565"
(14116) 22:45:07.373  m: Executing "lang.cfg"
(14116) 22:45:07.373  m: setvar language = "ru-RU"
(14116) 22:45:07.373  m: Executing "social.cfg"
(14116) 22:45:07.374  m: setvar social_login_address = "http://ru.pwcastle.nivalnetwork.com:88/"
(14116) 22:45:07.374  d: Fullscreen: 1
(14116) 22:45:07.389  d: Connection with lobby established
(14116) 22:45:07.391  d: ComPtr: GetAddr
(14116) 22:45:07.414  d: ComPtr: GetAddr
(14116) 22:45:07.415  d: ComPtr: Assign 16c2b04 INC
(14116) 22:45:07.418  d: ComPtr: Assign 16c2b04 INC
(14116) 22:45:07.418  d: ComPtr: Free 16c2b04 DEC
(14116) 22:45:07.418  d: ComPtr: Free 16c2b04 DEC
(14116) 22:45:07.418  d: ComPtr: GetAddr
(14116) 22:45:07.419  d: ComPtr: Assign 16c424c INC
(14116) 22:45:07.421  d: ComPtr: Assign 16c2b04 INC
(14116) 22:45:07.421  d: ComPtr: Assign 16c424c INC
(14116) 22:45:07.421  d: ComPtr: Free 16c2b04 DEC
(14116) 22:45:07.421  d: ComPtr: Free 16c424c DEC
(14116) 22:45:07.421  d: ComPtr: Free 16c424c DEC
(14116) 22:45:07.455  d: Pile file 'D:\Games\Prime World\PvP\Packs\data06.pile' found
(14116) 22:45:07.462  d: Pile file 'D:\Games\Prime World\PvP\Packs\data05.pile' found
(14116) 22:45:07.465  d: Pile file 'D:\Games\Prime World\PvP\Packs\data04.pile' found
(14116) 22:45:07.469  d: Pile file 'D:\Games\Prime World\PvP\Packs\data03.pile' found
(14116) 22:45:07.472  d: Pile file 'D:\Games\Prime World\PvP\Packs\data02.pile' found
(14116) 22:45:07.477  d: Pile file 'D:\Games\Prime World\PvP\Packs\data01.pile' found
(14116) 22:45:07.495  d: Pile file 'D:\Games\Prime World\PvP\Packs\_data.pile' found
(14116) 22:45:07.495  d: Pile file 'D:\Games\Prime World\PvP\Data\Localization\ru-RU\localisation_files.pile' found
(14116) 22:45:07.591  m: Executing "game.cfg"
(14116) 22:45:07.591  m: setvar stat_client_url = "http://gs.playpw.com/gstat0/"
(14116) 22:45:07.591  m: Value 'use_smooth_turns' is not registered
(14116) 22:45:07.591  m: setvar use_smooth_turns = "1"
(14116) 22:45:07.591  m: setvar rdp_log_events = "3079"
(14116) 22:45:07.592  m: Executing "input.cfg"
(14116) 22:45:07.594  m: Unknown command or variable "parentWidth"
(14116) 22:45:07.594  m: Type 'help' to list available commands
(14116) 22:45:07.594  m: Executing "input.cfg"
(14116) 22:45:07.642  m: Executing "smart_chat.cfg"
(14116) 22:45:07.849  m: UDP transport login address: 92.242.35.3:35006@10
(14116) 22:45:07.850  d: Previous SO_SNDBUF=65536
(14116) 22:45:07.850  d: New SO_SNDBUF=65536
(14116) 22:45:07.850  d: Previous SO_RCVBUF=65536
(14116) 22:45:07.850  d: New SO_RCVBUF=65536
(14116) 22:45:07.850  m: Socket opened. addr=34990, sock=1836
(14116) 22:45:07.850  m: Starting outgoing connection. local=34990, remote=92.242.35.3:35006, mux=10
(14116) 22:45:07.850  m: Cannot read configuration file "D:\Games\Prime World\PvP\Profiles\autoexec.cfg"
(14944) 22:45:07.852  m: Sending INIT. descr=(92.242.35.3:35006 36669:10), seq=16524
(20252) 22:45:07.857  m: UDP socket perfomance debug. addr=34990, recv=1, recv_tm=0.02, deliver_tm=0.00, send=1, send_tm=0.00
(14944) 22:45:07.858  m: ACK sent. descr=(92.242.35.3:35006 36669:10), seq=16524, stage=Active_WaitingInitAck
(14944) 22:45:07.858  m: Active connection handshake completed. descr=(92.242.35.3:35006 36669:10), seq=16524
(14944) 22:45:07.876  m: LoginClient: Got login reply. code=Success(5), uid=5599879, welcome=ru1/lobby/2
(14116) 22:45:08.122  d: OnDeviceChanged
(14116) 22:45:08.122  d: NotifyDeviceCreate
(14116) 22:45:08.141  d: DepthFormat: INTZ
(14116) 22:45:08.145  m: setvar mipmaplodbias = "0"
(14116) 22:45:08.566  d: FMOD Init OK
(4140) 22:45:08.573  m: Recieving permitted event data
(4140) 22:45:08.573  m: Initializing CURLlib...
(4140) 22:45:08.573  m: Performing HTTP GET: url_len=28, url='http://gs.playpw.com/gstat0/'
(14116) 22:45:08.706  d: Movie::SetViewport (w,h) = (1281, 1025)
(4140) 22:45:08.757  d: HTTP GET performed
(4140) 22:45:08.757  m: Recieved permitted event data. size=52
(4140) 22:45:08.757  m: Got permitted events data. size=52
(4140) 22:45:08.757  m: Got permitted events. methods=5, sessionEvents=6
(14116) 22:45:09.048  d: Failed to open file  with error 3.
(14116) 22:45:09.048  d: Cannot load ttf font: DejaVu LGC Sans
(14116) 22:45:09.098  d: Failed to open file  with error 3.
(14116) 22:45:09.098  d: Cannot load ttf font: _sans
(14116) 22:45:09.123  d: Window FlashScreen got focus
(14116) 22:45:09.123  d: Movie::SetViewport (w,h) = (1281, 1025)
(14116) 22:45:09.125  d: Movie::SetViewport (w,h) = (1821, 1025)
(14116) 22:45:09.129  d: Pref value too low. Please, check config variable 'prefs_common_graphics_quality'
(14116) 22:45:09.129  d: Pref value too low. Please, check config variable 'prefs_common_graphics_quality'
(14116) 22:45:09.262  d: Movie::SetViewport (w,h) = (1821, 1025)
(14116) 22:45:09.272  m: Virtual Memory Usage: 255 mb
(14116) 22:45:09.331  d: Command send: StartRender

(14116) 22:45:09.332  d: Collected 0 persistent events
(14116) 22:45:09.332  m: Connecting to lobby server...
(14116) 22:45:09.333  m: Lobby service path: 'ru1/lobby/2'
(14116) 22:45:09.333  m: Lobby service node id: 'lobby/2'
(14116) 22:45:09.352  m: LoginClient: Creating outgoing service channel. svcid=lobby/2, req_id=1
(14116) 22:45:09.353  d: GateKeeper: Generated pipeid(s= t=lobby/2 c=5599879 p=lobby/2)
(14116) 22:45:09.353  m: GateKeeper: Pipe created for service. name=lobby/2
(14116) 22:45:09.353  m: Node requested successfully(svcid=lobby/2)
(14116) 22:45:09.353  m: Query rpc interface(svcid=lobby/2 iface=lobby:entrance)
(14944) 22:45:09.376  m: LoginClient: Got svc reqest reply. svcid=lobby/2, req_id=1, code=0, addr=92.242.35.2:35011@100
(14944) 22:45:09.376  m: ClientChannel: Connection details arrived. code=Ok(0), svcid=lobby/2, req_id=1, addr=92.242.35.2:35011@100
(14944) 22:45:09.376  m: ClientChannel: Connecting to sevice. svcid=lobby/2, addr=92.242.35.2:35011, mux=100, req_id=1
