Local time: +3:00 UTC
ProcessId: 2676
(15544) 19:21:05.535  d: System runned under native Windows
(15544) 19:21:05.536  m: Starting in normal mode
(15544) 19:21:05.536  m: Executing "default.cfg"
(15544) 19:21:05.536  m: setvar app_always_active = "0"
(15544) 19:21:05.536  m: setvar bloomEnable = "1"
(15544) 19:21:05.536  m: setvar gfx_fullscreen = "1"
(15544) 19:21:05.536  m: setvar gfx_refreshrate = "0"
(15544) 19:21:05.536  d: Could not parse screen resolution settings, using defaults
(15544) 19:21:05.538  m: setvar gfx_resolution = "1920x1080"
(15544) 19:21:05.538  m: setvar gfx_vsync = "1"
(15544) 19:21:05.538  m: setvar grass_fade_distance = "100"
(15544) 19:21:05.538  m: setvar language = "ru-RU"
(15544) 19:21:05.538  m: setvar pfx_enable = "1"
(15544) 19:21:05.538  m: setvar pfx_sharp_enable = "1"
(15544) 19:21:05.538  m: setvar shadows = "1"
(15544) 19:21:05.538  m: setvar shadow_terrain = "1"
(15544) 19:21:05.538  m: setvar shadowPCF4_enable = "1"
(15544) 19:21:05.538  m: setvar waterrefl = "1"
(15544) 19:21:05.538  m: Executing "user.cfg"
(15544) 19:21:05.539  m: setvar app_always_active = "0"
(15544) 19:21:05.539  m: setvar bloomEnable = "1"
(15544) 19:21:05.539  m: setvar camera_link_to_hero = "-1"
(15544) 19:21:05.539  m: setvar camera_pitch = "58.75"
(15544) 19:21:05.539  m: setvar camera_rod = "70"
(15544) 19:21:05.539  m: setvar casual_control_style = "1"
(15544) 19:21:05.539  m: setvar common_graphics_quality = "1"
(15544) 19:21:05.539  m: setvar common_volume = "1"
(15544) 19:21:05.539  m: setvar console_limit = "100"
(15544) 19:21:05.539  m: setvar console_opacity = "0.4"
(15544) 19:21:05.539  m: setvar console_peep = "0"
(15544) 19:21:05.539  m: setvar console_size = "0.5"
(15544) 19:21:05.539  m: setvar console_sweep_time = "0.25"
(15544) 19:21:05.539  m: setvar current_pet = "-1"
(15544) 19:21:05.539  m: setvar enableRESZ = "0"
(15544) 19:21:05.539  m: setvar enable_cursor_clip = "1"
(15544) 19:21:05.539  m: setvar enable_replay = "1"
(15544) 19:21:05.539  m: setvar gfx_fullscreen = "1"
(15544) 19:21:05.539  m: setvar gfx_refreshrate = "0"
(15544) 19:21:05.539  m: setvar gfx_resolution = "1920x1080"
(15544) 19:21:05.539  m: setvar gfx_scale3D = "1"
(15544) 19:21:05.539  m: setvar gfx_skip_mip_levels = "0"
(15544) 19:21:05.539  m: setvar gfx_vsync = "1"
(15544) 19:21:05.539  m: setvar grass_fade_distance = "100"
(15544) 19:21:05.539  m: setvar grass_fade_length = "100"
(15544) 19:21:05.539  m: setvar last_map = ""
(15544) 19:21:05.539  m: setvar lock_actionbar = "0"
(15544) 19:21:05.539  m: setvar lock_camera = "0"
(15544) 19:21:05.539  m: setvar minimap_rotate = "0"
(15544) 19:21:05.539  m: setvar music_volume = "0"
(15544) 19:21:05.539  m: setvar pfx_enable = "1"
(15544) 19:21:05.539  m: setvar pfx_read_enable = "1"
(15544) 19:21:05.539  m: setvar pfx_sharp_enable = "1"
(15544) 19:21:05.539  m: setvar register_replay_extention = "1"
(15544) 19:21:05.539  m: setvar rndr_disableTriLinear = "0"
(15544) 19:21:05.540  m: setvar screenshot_ext = "jpg"
(15544) 19:21:05.540  m: setvar session_camera = ""
(15544) 19:21:05.540  m: setvar session_chat_off = "0"
(15544) 19:21:05.540  m: setvar shadowMapScale = "0.625"
(15544) 19:21:05.540  m: setvar shadowPCF4_enable = "1"
(15544) 19:21:05.540  m: setvar shadowTest = "1"
(15544) 19:21:05.540  m: setvar shadow_terrain = "1"
(15544) 19:21:05.540  m: setvar shadows = "1"
(15544) 19:21:05.540  m: setvar sound_background_enable = "0"
(15544) 19:21:05.540  m: setvar sound_volume = "0.111111"
(15544) 19:21:05.540  m: setvar use_badwords_filter = "0"
(15544) 19:21:05.540  m: setvar voice_volume = "0"
(15544) 19:21:05.540  m: setvar waterReflCoeff = "0.5"
(15544) 19:21:05.540  m: setvar waterrefl = "1"
(15544) 19:21:05.540  m: setvar window_pos_x = "963"
(15544) 19:21:05.540  m: setvar window_pos_y = "565"
(15544) 19:21:05.540  m: Executing "lang.cfg"
(15544) 19:21:05.540  m: setvar language = "ru-RU"
(15544) 19:21:05.540  m: Executing "social.cfg"
(15544) 19:21:05.540  m: setvar social_login_address = "http://ru.pwcastle.nivalnetwork.com:88/"
(15544) 19:21:05.540  d: Fullscreen: 1
(15544) 19:21:05.552  d: Connection with lobby established
(15544) 19:21:05.553  d: ComPtr: GetAddr
(15544) 19:21:05.934  d: ComPtr: GetAddr
(15544) 19:21:05.935  d: ComPtr: Assign 138ca0c INC
(15544) 19:21:05.935  d: ComPtr: Assign 138ca0c INC
(15544) 19:21:05.935  d: ComPtr: Free 138ca0c DEC
(15544) 19:21:05.935  d: ComPtr: Free 138ca0c DEC
(15544) 19:21:05.935  d: ComPtr: GetAddr
(15544) 19:21:05.938  d: ComPtr: Assign 138d054 INC
(15544) 19:21:05.939  d: ComPtr: Assign 138ca0c INC
(15544) 19:21:05.939  d: ComPtr: Assign 138d054 INC
(15544) 19:21:05.939  d: ComPtr: Free 138ca0c DEC
(15544) 19:21:05.939  d: ComPtr: Free 138d054 DEC
(15544) 19:21:05.939  d: ComPtr: Free 138d054 DEC
(15544) 19:21:05.974  d: Pile file 'D:\Games\Prime World\PvP\Packs\data06.pile' found
(15544) 19:21:05.980  d: Pile file 'D:\Games\Prime World\PvP\Packs\data05.pile' found
(15544) 19:21:05.983  d: Pile file 'D:\Games\Prime World\PvP\Packs\data04.pile' found
(15544) 19:21:05.987  d: Pile file 'D:\Games\Prime World\PvP\Packs\data03.pile' found
(15544) 19:21:05.991  d: Pile file 'D:\Games\Prime World\PvP\Packs\data02.pile' found
(15544) 19:21:05.996  d: Pile file 'D:\Games\Prime World\PvP\Packs\data01.pile' found
(15544) 19:21:06.077  d: Pile file 'D:\Games\Prime World\PvP\Packs\_data.pile' found
(15544) 19:21:06.077  d: Pile file 'D:\Games\Prime World\PvP\Data\Localization\ru-RU\localisation_files.pile' found
(15544) 19:21:06.347  m: Executing "game.cfg"
(15544) 19:21:06.348  m: setvar stat_client_url = "http://gs.playpw.com/gstat0/"
(15544) 19:21:06.348  m: Value 'use_smooth_turns' is not registered
(15544) 19:21:06.348  m: setvar use_smooth_turns = "1"
(15544) 19:21:06.348  m: setvar rdp_log_events = "3079"
(15544) 19:21:06.358  m: Executing "input.cfg"
(15544) 19:21:06.361  m: Unknown command or variable "parentWidth"
(15544) 19:21:06.361  m: Type 'help' to list available commands
(15544) 19:21:06.362  m: Executing "input.cfg"
(15544) 19:21:06.417  m: Executing "smart_chat.cfg"
(15544) 19:21:07.263  m: UDP transport login address: 92.242.35.3:35002@10
(15544) 19:21:07.264  d: Previous SO_SNDBUF=65536
(15544) 19:21:07.264  d: New SO_SNDBUF=65536
(15544) 19:21:07.264  d: Previous SO_RCVBUF=65536
(15544) 19:21:07.264  d: New SO_RCVBUF=65536
(15544) 19:21:07.264  m: Socket opened. addr=34990, sock=1564
(15544) 19:21:07.264  m: Starting outgoing connection. local=34990, remote=92.242.35.3:35002, mux=10
(15544) 19:21:07.264  m: Cannot read configuration file "D:\Games\Prime World\PvP\Profiles\autoexec.cfg"
(16024) 19:21:07.267  m: Sending INIT. descr=(92.242.35.3:35002 49771:10), seq=3029
(18400) 19:21:07.271  m: UDP socket perfomance debug. addr=34990, recv=1, recv_tm=0.02, deliver_tm=0.00, send=1, send_tm=0.00
(16024) 19:21:07.273  m: ACK sent. descr=(92.242.35.3:35002 49771:10), seq=3029, stage=Active_WaitingInitAck
(16024) 19:21:07.273  m: Active connection handshake completed. descr=(92.242.35.3:35002 49771:10), seq=3029
(16024) 19:21:07.289  m: LoginClient: Got login reply. code=Success(5), uid=5599879, welcome=ru1/lobby/4
(15544) 19:21:07.907  d: OnDeviceChanged
(15544) 19:21:07.907  d: NotifyDeviceCreate
(15544) 19:21:08.004  d: DepthFormat: INTZ
