Local time: +3:00 UTC
ProcessId: 13736
(8136) 22:14:25.519  d: System runned under native Windows
(8136) 22:14:25.520  m: Starting in normal mode
(8136) 22:14:25.520  m: Executing "default.cfg"
(8136) 22:14:25.521  m: setvar app_always_active = "0"
(8136) 22:14:25.521  m: setvar bloomEnable = "1"
(8136) 22:14:25.521  m: setvar gfx_fullscreen = "1"
(8136) 22:14:25.521  m: setvar gfx_refreshrate = "0"
(8136) 22:14:25.522  d: Could not parse screen resolution settings, using defaults
(8136) 22:14:25.524  m: setvar gfx_resolution = "1920x1080"
(8136) 22:14:25.524  m: setvar gfx_vsync = "1"
(8136) 22:14:25.545  m: setvar grass_fade_distance = "100"
(8136) 22:14:25.545  m: setvar language = "ru-RU"
(8136) 22:14:25.545  m: setvar pfx_enable = "1"
(8136) 22:14:25.545  m: setvar pfx_sharp_enable = "1"
(8136) 22:14:25.545  m: setvar shadows = "1"
(8136) 22:14:25.545  m: setvar shadow_terrain = "1"
(8136) 22:14:25.545  m: setvar shadowPCF4_enable = "1"
(8136) 22:14:25.545  m: setvar waterrefl = "1"
(8136) 22:14:25.554  m: Executing "user.cfg"
(8136) 22:14:25.554  m: setvar app_always_active = "0"
(8136) 22:14:25.554  m: setvar bloomEnable = "1"
(8136) 22:14:25.554  m: setvar camera_link_to_hero = "-1"
(8136) 22:14:25.554  m: setvar camera_pitch = "53.1567"
(8136) 22:14:25.554  m: setvar camera_rod = "55.0846"
(8136) 22:14:25.554  m: setvar casual_control_style = "1"
(8136) 22:14:25.554  m: setvar common_graphics_quality = "1"
(8136) 22:14:25.554  m: setvar common_volume = "1"
(8136) 22:14:25.554  m: setvar console_limit = "100"
(8136) 22:14:25.554  m: setvar console_opacity = "0.4"
(8136) 22:14:25.554  m: setvar console_peep = "0"
(8136) 22:14:25.554  m: setvar console_size = "0.5"
(8136) 22:14:25.554  m: setvar console_sweep_time = "0.25"
(8136) 22:14:25.554  m: setvar current_pet = "-1"
(8136) 22:14:25.554  m: setvar enableRESZ = "0"
(8136) 22:14:25.554  m: setvar enable_cursor_clip = "1"
(8136) 22:14:25.554  m: setvar enable_replay = "1"
(8136) 22:14:25.554  m: setvar gfx_fullscreen = "1"
(8136) 22:14:25.554  m: setvar gfx_refreshrate = "0"
(8136) 22:14:25.554  m: setvar gfx_resolution = "1920x1080"
(8136) 22:14:25.554  m: setvar gfx_scale3D = "1"
(8136) 22:14:25.554  m: setvar gfx_skip_mip_levels = "0"
(8136) 22:14:25.554  m: setvar gfx_vsync = "1"
(8136) 22:14:25.554  m: setvar grass_fade_distance = "100"
(8136) 22:14:25.554  m: setvar grass_fade_length = "100"
(8136) 22:14:25.554  m: setvar last_map = ""
(8136) 22:14:25.554  m: setvar lock_actionbar = "0"
(8136) 22:14:25.555  m: setvar lock_camera = "0"
(8136) 22:14:25.555  m: setvar minimap_rotate = "0"
(8136) 22:14:25.555  m: setvar music_volume = "0"
(8136) 22:14:25.555  m: setvar pfx_enable = "1"
(8136) 22:14:25.555  m: setvar pfx_read_enable = "1"
(8136) 22:14:25.555  m: setvar pfx_sharp_enable = "1"
(8136) 22:14:25.555  m: setvar register_replay_extention = "1"
(8136) 22:14:25.555  m: setvar rndr_disableTriLinear = "0"
(8136) 22:14:25.555  m: setvar screenshot_ext = "jpg"
(8136) 22:14:25.555  m: setvar session_camera = ""
(8136) 22:14:25.555  m: setvar session_chat_off = "0"
(8136) 22:14:25.555  m: setvar shadowMapScale = "0.625"
(8136) 22:14:25.555  m: setvar shadowPCF4_enable = "1"
(8136) 22:14:25.555  m: setvar shadowTest = "1"
(8136) 22:14:25.555  m: setvar shadow_terrain = "1"
(8136) 22:14:25.555  m: setvar shadows = "1"
(8136) 22:14:25.555  m: setvar sound_background_enable = "0"
(8136) 22:14:25.555  m: setvar sound_volume = "0.111111"
(8136) 22:14:25.555  m: setvar use_badwords_filter = "0"
(8136) 22:14:25.555  m: setvar voice_volume = "0"
(8136) 22:14:25.555  m: setvar waterReflCoeff = "0.5"
(8136) 22:14:25.555  m: setvar waterrefl = "1"
(8136) 22:14:25.555  m: setvar window_pos_x = "963"
(8136) 22:14:25.555  m: setvar window_pos_y = "565"
(8136) 22:14:25.556  m: Executing "lang.cfg"
(8136) 22:14:25.556  m: setvar language = "ru-RU"
