Local time: +3:00 UTC
ProcessId: 12872
(11072) 05:42:51.572  d: System runned under native Windows
(11072) 05:42:51.573  m: Starting in normal mode
(11072) 05:42:51.618  m: Executing "default.cfg"
(11072) 05:42:51.619  m: setvar app_always_active = "0"
(11072) 05:42:51.619  m: setvar bloomEnable = "1"
(11072) 05:42:51.619  m: setvar gfx_fullscreen = "1"
(11072) 05:42:51.619  m: setvar gfx_refreshrate = "0"
(11072) 05:42:51.620  d: Could not parse screen resolution settings, using defaults
(11072) 05:42:51.622  m: setvar gfx_resolution = "1920x1080"
(11072) 05:42:51.622  m: setvar gfx_vsync = "1"
(11072) 05:42:51.648  m: setvar grass_fade_distance = "100"
(11072) 05:42:51.656  m: setvar language = "ru-RU"
(11072) 05:42:51.656  m: setvar pfx_enable = "1"
(11072) 05:42:51.656  m: setvar pfx_sharp_enable = "1"
(11072) 05:42:51.656  m: setvar shadows = "1"
(11072) 05:42:51.656  m: setvar shadow_terrain = "1"
(11072) 05:42:51.656  m: setvar shadowPCF4_enable = "1"
(11072) 05:42:51.656  m: setvar waterrefl = "1"
(11072) 05:42:51.657  m: Executing "user.cfg"
(11072) 05:42:51.657  m: setvar app_always_active = "0"
(11072) 05:42:51.657  m: setvar bloomEnable = "1"
(11072) 05:42:51.657  m: setvar camera_link_to_hero = "-1"
(11072) 05:42:51.657  m: setvar camera_pitch = "53.1567"
(11072) 05:42:51.657  m: setvar camera_rod = "55.0846"
(11072) 05:42:51.657  m: setvar casual_control_style = "1"
(11072) 05:42:51.657  m: setvar common_graphics_quality = "1"
(11072) 05:42:51.657  m: setvar common_volume = "1"
(11072) 05:42:51.657  m: setvar console_limit = "100"
(11072) 05:42:51.657  m: setvar console_opacity = "0.4"
(11072) 05:42:51.657  m: setvar console_peep = "0"
(11072) 05:42:51.657  m: setvar console_size = "0.5"
(11072) 05:42:51.657  m: setvar console_sweep_time = "0.25"
(11072) 05:42:51.657  m: setvar current_pet = "-1"
(11072) 05:42:51.657  m: setvar enableRESZ = "0"
(11072) 05:42:51.657  m: setvar enable_cursor_clip = "1"
(11072) 05:42:51.657  m: setvar enable_replay = "1"
(11072) 05:42:51.657  m: setvar gfx_fullscreen = "1"
(11072) 05:42:51.657  m: setvar gfx_refreshrate = "0"
(11072) 05:42:51.657  m: setvar gfx_resolution = "1920x1080"
(11072) 05:42:51.657  m: setvar gfx_scale3D = "1"
(11072) 05:42:51.657  m: setvar gfx_skip_mip_levels = "0"
(11072) 05:42:51.657  m: setvar gfx_vsync = "1"
(11072) 05:42:51.657  m: setvar grass_fade_distance = "100"
(11072) 05:42:51.657  m: setvar grass_fade_length = "100"
(11072) 05:42:51.657  m: setvar last_map = ""
(11072) 05:42:51.657  m: setvar lock_actionbar = "0"
(11072) 05:42:51.657  m: setvar lock_camera = "0"
(11072) 05:42:51.657  m: setvar minimap_rotate = "0"
(11072) 05:42:51.657  m: setvar music_volume = "0"
(11072) 05:42:51.657  m: setvar pfx_enable = "1"
(11072) 05:42:51.657  m: setvar pfx_read_enable = "1"
(11072) 05:42:51.657  m: setvar pfx_sharp_enable = "1"
(11072) 05:42:51.657  m: setvar register_replay_extention = "1"
(11072) 05:42:51.657  m: setvar rndr_disableTriLinear = "0"
(11072) 05:42:51.657  m: setvar screenshot_ext = "jpg"
(11072) 05:42:51.658  m: setvar session_camera = ""
(11072) 05:42:51.658  m: setvar session_chat_off = "0"
(11072) 05:42:51.658  m: setvar shadowMapScale = "0.625"
(11072) 05:42:51.658  m: setvar shadowPCF4_enable = "1"
(11072) 05:42:51.658  m: setvar shadowTest = "1"
(11072) 05:42:51.658  m: setvar shadow_terrain = "1"
