Local time: +3:00 UTC
ProcessId: 6920
(8020) 20:34:56.753  d: System runned under native Windows
(8020) 20:34:56.754  m: Starting in normal mode
(8020) 20:34:56.787  m: Executing "default.cfg"
(8020) 20:34:56.787  m: setvar app_always_active = "0"
(8020) 20:34:56.788  m: setvar bloomEnable = "1"
(8020) 20:34:56.788  m: setvar gfx_fullscreen = "1"
(8020) 20:34:56.788  m: setvar gfx_refreshrate = "0"
(8020) 20:34:56.788  d: Could not parse screen resolution settings, using defaults
(8020) 20:34:56.791  m: setvar gfx_resolution = "1920x1080"
(8020) 20:34:56.791  m: setvar gfx_vsync = "1"
(8020) 20:34:56.791  m: setvar grass_fade_distance = "100"
(8020) 20:34:56.791  m: setvar language = "ru-RU"
(8020) 20:34:56.791  m: setvar pfx_enable = "1"
(8020) 20:34:56.791  m: setvar pfx_sharp_enable = "1"
(8020) 20:34:56.791  m: setvar shadows = "1"
(8020) 20:34:56.791  m: setvar shadow_terrain = "1"
(8020) 20:34:56.791  m: setvar shadowPCF4_enable = "1"
(8020) 20:34:56.791  m: setvar waterrefl = "1"
(8020) 20:34:56.792  m: Executing "user.cfg"
(8020) 20:34:56.792  m: setvar app_always_active = "0"
(8020) 20:34:56.792  m: setvar bloomEnable = "1"
(8020) 20:34:56.792  m: setvar camera_link_to_hero = "-1"
(8020) 20:34:56.792  m: setvar camera_pitch = "55"
(8020) 20:34:56.792  m: setvar camera_rod = "60"
(8020) 20:34:56.792  m: setvar casual_control_style = "1"
(8020) 20:34:56.792  m: setvar common_graphics_quality = "1"
(8020) 20:34:56.792  m: setvar common_volume = "1"
(8020) 20:34:56.792  m: setvar console_limit = "100"
(8020) 20:34:56.792  m: setvar console_opacity = "0.4"
(8020) 20:34:56.792  m: setvar console_peep = "0"
(8020) 20:34:56.792  m: setvar console_size = "0.5"
(8020) 20:34:56.792  m: setvar console_sweep_time = "0.25"
(8020) 20:34:56.792  m: setvar current_pet = "-1"
(8020) 20:34:56.792  m: setvar enableRESZ = "0"
(8020) 20:34:56.792  m: setvar enable_cursor_clip = "1"
(8020) 20:34:56.792  m: setvar enable_replay = "1"
(8020) 20:34:56.792  m: setvar gfx_fullscreen = "1"
(8020) 20:34:56.792  m: setvar gfx_refreshrate = "0"
(8020) 20:34:56.792  m: setvar gfx_resolution = "1920x1080"
(8020) 20:34:56.792  m: setvar gfx_scale3D = "1"
(8020) 20:34:56.792  m: setvar gfx_skip_mip_levels = "0"
(8020) 20:34:56.792  m: setvar gfx_vsync = "1"
(8020) 20:34:56.792  m: setvar grass_fade_distance = "100"
(8020) 20:34:56.792  m: setvar grass_fade_length = "100"
(8020) 20:34:56.792  m: setvar last_map = ""
(8020) 20:34:56.792  m: setvar lock_actionbar = "0"
(8020) 20:34:56.792  m: setvar lock_camera = "0"
(8020) 20:34:56.792  m: setvar minimap_rotate = "0"
(8020) 20:34:56.792  m: setvar music_volume = "0"
(8020) 20:34:56.793  m: setvar pfx_enable = "1"
(8020) 20:34:56.793  m: setvar pfx_read_enable = "1"
(8020) 20:34:56.793  m: setvar pfx_sharp_enable = "1"
(8020) 20:34:56.793  m: setvar register_replay_extention = "1"
