Local time: +3:00 UTC
ProcessId: 8472
(5008) 19:42:22.316  d: SteamAPI_Init() failed

(5008) 19:42:22.464  d: System runned under native Windows
(5008) 19:42:22.464  m: Starting in replay mode
(5008) 19:42:22.465  m: Executing "default.cfg"
(5008) 19:42:22.465  m: setvar app_always_active = "0"
(5008) 19:42:22.465  m: setvar bloomEnable = "1"
(5008) 19:42:22.466  m: setvar gfx_fullscreen = "1"
(5008) 19:42:22.466  m: setvar gfx_refreshrate = "0"
(5008) 19:42:22.466  d: Could not parse screen resolution settings, using defaults
(5008) 19:42:22.468  m: setvar gfx_resolution = "1920x1080"
(5008) 19:42:22.469  m: setvar gfx_vsync = "1"
(5008) 19:42:22.469  m: setvar grass_fade_distance = "100"
(5008) 19:42:22.469  m: setvar language = "ru-RU"
(5008) 19:42:22.469  m: setvar pfx_enable = "1"
(5008) 19:42:22.469  m: setvar pfx_sharp_enable = "1"
(5008) 19:42:22.469  m: setvar shadows = "1"
(5008) 19:42:22.469  m: setvar shadow_terrain = "1"
(5008) 19:42:22.469  m: setvar shadowPCF4_enable = "1"
(5008) 19:42:22.469  m: setvar waterrefl = "1"
(5008) 19:42:22.480  m: Executing "user.cfg"
(5008) 19:42:22.481  m: setvar app_always_active = "0"
(5008) 19:42:22.481  m: setvar bloomEnable = "1"
(5008) 19:42:22.481  m: setvar camera_link_to_hero = "-1"
(5008) 19:42:22.481  m: setvar camera_pitch = "53.1567"
(5008) 19:42:22.481  m: setvar camera_rod = "55.0846"
(5008) 19:42:22.481  m: setvar casual_control_style = "1"
(5008) 19:42:22.481  m: setvar common_graphics_quality = "1"
(5008) 19:42:22.481  m: setvar common_volume = "1"
(5008) 19:42:22.481  m: setvar console_limit = "100"
(5008) 19:42:22.481  m: setvar console_opacity = "0.4"
(5008) 19:42:22.481  m: setvar console_peep = "0"
(5008) 19:42:22.481  m: setvar console_size = "0.5"
(5008) 19:42:22.481  m: setvar console_sweep_time = "0.25"
(5008) 19:42:22.481  m: setvar current_pet = "-1"
(5008) 19:42:22.481  m: setvar enableRESZ = "0"
(5008) 19:42:22.481  m: setvar enable_cursor_clip = "1"
(5008) 19:42:22.481  m: setvar enable_replay = "1"
(5008) 19:42:22.481  m: setvar gfx_fullscreen = "0"
(5008) 19:42:22.481  m: setvar gfx_refreshrate = "0"
(5008) 19:42:22.481  m: setvar gfx_resolution = "1680x1050"
(5008) 19:42:22.481  m: setvar gfx_scale3D = "1"
(5008) 19:42:22.481  m: setvar gfx_skip_mip_levels = "0"
(5008) 19:42:22.481  m: setvar gfx_vsync = "1"
(5008) 19:42:22.482  m: setvar grass_fade_distance = "100"
(5008) 19:42:22.482  m: setvar grass_fade_length = "100"
(5008) 19:42:22.482  m: setvar last_map = ""
(5008) 19:42:22.482  m: setvar lock_actionbar = "0"
(5008) 19:42:22.482  m: setvar lock_camera = "0"
(5008) 19:42:22.482  m: setvar minimap_rotate = "0"
(5008) 19:42:22.482  m: setvar music_volume = "0"
(5008) 19:42:22.482  m: setvar pfx_enable = "1"
(5008) 19:42:22.482  m: setvar pfx_read_enable = "1"
(5008) 19:42:22.482  m: setvar pfx_sharp_enable = "1"
(5008) 19:42:22.482  m: setvar register_replay_extention = "1"
(5008) 19:42:22.482  m: setvar rndr_disableTriLinear = "0"
(5008) 19:42:22.482  m: setvar screenshot_ext = "jpg"
(5008) 19:42:22.482  m: setvar session_camera = ""
(5008) 19:42:22.482  m: setvar session_chat_off = "0"
(5008) 19:42:22.482  m: setvar shadowMapScale = "0.625"
(5008) 19:42:22.482  m: setvar shadowPCF4_enable = "1"
(5008) 19:42:22.482  m: setvar shadowTest = "1"
(5008) 19:42:22.482  m: setvar shadow_terrain = "1"
(5008) 19:42:22.482  m: setvar shadows = "1"
(5008) 19:42:22.482  m: setvar sound_background_enable = "0"
(5008) 19:42:22.482  m: setvar sound_volume = "0.030303"
(5008) 19:42:22.482  m: setvar use_badwords_filter = "0"
(5008) 19:42:22.482  m: setvar voice_volume = "0"
(5008) 19:42:22.482  m: setvar waterReflCoeff = "0.5"
(5008) 19:42:22.482  m: setvar waterrefl = "1"
(5008) 19:42:22.482  m: setvar window_pos_x = "963"
(5008) 19:42:22.482  m: setvar window_pos_y = "552"
(5008) 19:42:22.483  m: Executing "lang.cfg"
(5008) 19:42:22.483  m: setvar language = "ru-RU"
(5008) 19:42:22.484  m: Executing "social.cfg"
(5008) 19:42:22.484  m: setvar social_login_address = "http://ru.pwcastle.nivalnetwork.com:88/"
(5008) 19:42:22.484  d: Fullscreen: 0
(5008) 19:42:22.490  d: ComPtr: GetAddr
(5008) 19:42:22.720  d: ComPtr: GetAddr
(5008) 19:42:22.729  d: ComPtr: Assign 15f0f6c INC
(5008) 19:42:22.733  d: ComPtr: Assign 15f0f6c INC
(5008) 19:42:22.733  d: ComPtr: Free 15f0f6c DEC
(5008) 19:42:22.733  d: ComPtr: Free 15f0f6c DEC
(5008) 19:42:22.733  d: ComPtr: GetAddr
(5008) 19:42:22.734  d: ComPtr: Assign 164f2dc INC
(5008) 19:42:22.736  d: ComPtr: Assign 15f0f6c INC
(5008) 19:42:22.736  d: ComPtr: Assign 164f2dc INC
(5008) 19:42:22.736  d: ComPtr: Free 15f0f6c DEC
(5008) 19:42:22.736  d: ComPtr: Free 164f2dc DEC
(5008) 19:42:22.736  d: ComPtr: Free 164f2dc DEC
(5008) 19:42:22.770  d: Pile file 'D:\Games\Prime World\PvP\Packs\data06.pile' found
(5008) 19:42:22.777  d: Pile file 'D:\Games\Prime World\PvP\Packs\data05.pile' found
(5008) 19:42:22.780  d: Pile file 'D:\Games\Prime World\PvP\Packs\data04.pile' found
(5008) 19:42:22.783  d: Pile file 'D:\Games\Prime World\PvP\Packs\data03.pile' found
(5008) 19:42:22.787  d: Pile file 'D:\Games\Prime World\PvP\Packs\data02.pile' found
(5008) 19:42:22.791  d: Pile file 'D:\Games\Prime World\PvP\Packs\data01.pile' found
(5008) 19:42:22.905  d: Pile file 'D:\Games\Prime World\PvP\Packs\_data.pile' found
(5008) 19:42:22.906  d: Pile file 'D:\Games\Prime World\PvP\Data\Localization\ru-RU\localisation_files.pile' found
(5008) 19:42:23.557  m: Executing "game.cfg"
(5008) 19:42:23.557  m: setvar stat_client_url = "http://gs.playpw.com/gstat0/"
(5008) 19:42:23.557  m: Value 'use_smooth_turns' is not registered
(5008) 19:42:23.557  m: setvar use_smooth_turns = "1"
(5008) 19:42:23.557  m: setvar rdp_log_events = "3079"
(5008) 19:42:23.570  m: Executing "input.cfg"
(5008) 19:42:23.572  m: Unknown command or variable "C:\Users\Terem\Documents\My Games\Prime World\Replays\PW-11.10-0.171.23.88619-2018.10.27-18.54.59-5bbd92db0003b1bc.pwrp"
(5008) 19:42:23.572  m: Type 'help' to list available commands
(5008) 19:42:23.589  m: Executing "input.cfg"
(5008) 19:42:23.654  m: Executing "smart_chat.cfg"
(5008) 19:42:23.654  m: Executing "spectator.cfg"
