Local time: +3:00 UTC
ProcessId: 11736
(9460) 18:20:45.259  d: System runned under native Windows
(9460) 18:20:45.260  m: Starting in normal mode
(9460) 18:20:45.350  m: Executing "default.cfg"
(9460) 18:20:45.351  m: setvar app_always_active = "0"
(9460) 18:20:45.351  m: setvar bloomEnable = "1"
(9460) 18:20:45.351  m: setvar gfx_fullscreen = "1"
(9460) 18:20:45.351  m: setvar gfx_refreshrate = "0"
(9460) 18:20:45.351  d: Could not parse screen resolution settings, using defaults
(9460) 18:20:45.353  m: setvar gfx_resolution = "1920x1080"
(9460) 18:20:45.353  m: setvar gfx_vsync = "1"
(9460) 18:20:45.363  m: setvar grass_fade_distance = "100"
(9460) 18:20:45.371  m: setvar language = "ru-RU"
(9460) 18:20:45.371  m: setvar pfx_enable = "1"
(9460) 18:20:45.371  m: setvar pfx_sharp_enable = "1"
(9460) 18:20:45.371  m: setvar shadows = "1"
(9460) 18:20:45.372  m: setvar shadow_terrain = "1"
(9460) 18:20:45.372  m: setvar shadowPCF4_enable = "1"
(9460) 18:20:45.372  m: setvar waterrefl = "1"
(9460) 18:20:45.372  m: Executing "user.cfg"
(9460) 18:20:45.372  m: setvar app_always_active = "0"
(9460) 18:20:45.372  m: setvar bloomEnable = "1"
(9460) 18:20:45.372  m: setvar camera_link_to_hero = "-1"
(9460) 18:20:45.372  m: setvar camera_pitch = "58.75"
(9460) 18:20:45.372  m: setvar camera_rod = "70"
(9460) 18:20:45.372  m: setvar casual_control_style = "1"
(9460) 18:20:45.372  m: setvar common_graphics_quality = "1"
(9460) 18:20:45.372  m: setvar common_volume = "1"
(9460) 18:20:45.372  m: setvar console_limit = "100"
(9460) 18:20:45.372  m: setvar console_opacity = "0.4"
(9460) 18:20:45.372  m: setvar console_peep = "0"
(9460) 18:20:45.372  m: setvar console_size = "0.5"
(9460) 18:20:45.372  m: setvar console_sweep_time = "0.25"
(9460) 18:20:45.372  m: setvar current_pet = "-1"
(9460) 18:20:45.372  m: setvar enableRESZ = "0"
(9460) 18:20:45.372  m: setvar enable_cursor_clip = "1"
(9460) 18:20:45.372  m: setvar enable_replay = "1"
(9460) 18:20:45.372  m: setvar gfx_fullscreen = "1"
(9460) 18:20:45.372  m: setvar gfx_refreshrate = "0"
(9460) 18:20:45.372  m: setvar gfx_resolution = "1920x1080"
(9460) 18:20:45.372  m: setvar gfx_scale3D = "1"
(9460) 18:20:45.372  m: setvar gfx_skip_mip_levels = "0"
(9460) 18:20:45.372  m: setvar gfx_vsync = "1"
(9460) 18:20:45.372  m: setvar grass_fade_distance = "100"
(9460) 18:20:45.373  m: setvar grass_fade_length = "100"
(9460) 18:20:45.373  m: setvar last_map = ""
(9460) 18:20:45.373  m: setvar lock_actionbar = "1"
(9460) 18:20:45.373  m: setvar lock_camera = "0"
(9460) 18:20:45.373  m: setvar minimap_rotate = "0"
(9460) 18:20:45.373  m: setvar music_volume = "0"
(9460) 18:20:45.373  m: setvar pfx_enable = "1"
(9460) 18:20:45.373  m: setvar pfx_read_enable = "1"
(9460) 18:20:45.373  m: setvar pfx_sharp_enable = "1"
(9460) 18:20:45.373  m: setvar register_replay_extention = "1"
(9460) 18:20:45.373  m: setvar rndr_disableTriLinear = "0"
(9460) 18:20:45.373  m: setvar screenshot_ext = "jpg"
(9460) 18:20:45.373  m: setvar session_camera = ""
(9460) 18:20:45.373  m: setvar session_chat_off = "0"
(9460) 18:20:45.373  m: setvar shadowMapScale = "0.625"
(9460) 18:20:45.373  m: setvar shadowPCF4_enable = "1"
(9460) 18:20:45.373  m: setvar shadowTest = "1"
(9460) 18:20:45.373  m: setvar shadow_terrain = "1"
(9460) 18:20:45.373  m: setvar shadows = "1"
(9460) 18:20:45.373  m: setvar sound_background_enable = "0"
(9460) 18:20:45.373  m: setvar sound_volume = "0.111111"
(9460) 18:20:45.373  m: setvar use_badwords_filter = "0"
(9460) 18:20:45.373  m: setvar voice_volume = "0"
(9460) 18:20:45.373  m: setvar waterReflCoeff = "0.5"
(9460) 18:20:45.373  m: setvar waterrefl = "1"
(9460) 18:20:45.373  m: setvar window_pos_x = "963"
(9460) 18:20:45.373  m: setvar window_pos_y = "565"
(9460) 18:20:45.373  m: Executing "lang.cfg"
(9460) 18:20:45.374  m: setvar language = "ru-RU"
(9460) 18:20:45.374  m: Executing "social.cfg"
(9460) 18:20:45.374  m: setvar social_login_address = "http://ru.pwcastle.nivalnetwork.com:88/"
(9460) 18:20:45.374  d: Fullscreen: 1
(9460) 18:20:45.404  d: Connection with lobby established
(9460) 18:20:45.405  d: ComPtr: GetAddr
(9460) 18:20:45.804  d: ComPtr: GetAddr
(9460) 18:20:45.915  d: ComPtr: Assign 1428954 INC
(9460) 18:20:45.916  d: ComPtr: Assign 1428954 INC
(9460) 18:20:45.916  d: ComPtr: Free 1428954 DEC
(9460) 18:20:45.916  d: ComPtr: Free 1428954 DEC
(9460) 18:20:45.916  d: ComPtr: GetAddr
(9460) 18:20:45.916  d: ComPtr: Assign 1428f9c INC
(9460) 18:20:45.917  d: ComPtr: Assign 1428954 INC
(9460) 18:20:45.917  d: ComPtr: Assign 1428f9c INC
(9460) 18:20:45.917  d: ComPtr: Free 1428954 DEC
(9460) 18:20:45.917  d: ComPtr: Free 1428f9c DEC
(9460) 18:20:45.917  d: ComPtr: Free 1428f9c DEC
(9460) 18:20:45.993  d: Pile file 'D:\Games\Prime World\PvP\Packs\data06.pile' found
(9460) 18:20:46.055  d: Pile file 'D:\Games\Prime World\PvP\Packs\data05.pile' found
(9460) 18:20:46.094  d: Pile file 'D:\Games\Prime World\PvP\Packs\data04.pile' found
(9460) 18:20:46.126  d: Pile file 'D:\Games\Prime World\PvP\Packs\data03.pile' found
(9460) 18:20:46.138  d: Pile file 'D:\Games\Prime World\PvP\Packs\data02.pile' found
(9460) 18:20:46.157  d: Pile file 'D:\Games\Prime World\PvP\Packs\data01.pile' found
(9460) 18:20:46.216  d: Pile file 'D:\Games\Prime World\PvP\Packs\_data.pile' found
(9460) 18:20:46.226  d: Pile file 'D:\Games\Prime World\PvP\Data\Localization\ru-RU\localisation_files.pile' found
(9460) 18:20:46.478  m: Executing "game.cfg"
(9460) 18:20:46.478  m: setvar stat_client_url = "http://gs.playpw.com/gstat0/"
(9460) 18:20:46.478  m: Value 'use_smooth_turns' is not registered
(9460) 18:20:46.478  m: setvar use_smooth_turns = "1"
(9460) 18:20:46.478  m: setvar rdp_log_events = "3079"
(9460) 18:20:46.489  m: Executing "input.cfg"
(9460) 18:20:46.491  m: Unknown command or variable "parentWidth"
(9460) 18:20:46.491  m: Type 'help' to list available commands
(9460) 18:20:46.491  m: Executing "input.cfg"
(9460) 18:20:46.540  m: Executing "smart_chat.cfg"
(9460) 18:20:48.231  m: UDP transport login address: 92.242.35.3:35008@10
(9460) 18:20:48.231  d: Previous SO_SNDBUF=65536
(9460) 18:20:48.231  d: New SO_SNDBUF=65536
(9460) 18:20:48.231  d: Previous SO_RCVBUF=65536
(9460) 18:20:48.231  d: New SO_RCVBUF=65536
(9460) 18:20:48.231  m: Socket opened. addr=34990, sock=1436
(9460) 18:20:48.231  m: Starting outgoing connection. local=34990, remote=92.242.35.3:35008, mux=10
(9460) 18:20:48.231  m: Cannot read configuration file "D:\Games\Prime World\PvP\Profiles\autoexec.cfg"
(17792) 18:20:48.233  m: Sending INIT. descr=(92.242.35.3:35008 65157:10), seq=14395
(5608) 18:20:48.237  m: UDP socket perfomance debug. addr=34990, recv=1, recv_tm=0.02, deliver_tm=0.00, send=1, send_tm=0.00
(17792) 18:20:48.239  m: ACK sent. descr=(92.242.35.3:35008 65157:10), seq=14395, stage=Active_WaitingInitAck
(17792) 18:20:48.239  m: Active connection handshake completed. descr=(92.242.35.3:35008 65157:10), seq=14395
