Local time: +3:00 UTC
ProcessId: 8804
(18796) 16:49:14.850  d: System runned under native Windows
(18796) 16:49:14.851  m: Starting in normal mode
(18796) 16:49:14.851  m: Executing "default.cfg"
(18796) 16:49:14.851  m: setvar app_always_active = "0"
(18796) 16:49:14.851  m: setvar bloomEnable = "1"
(18796) 16:49:14.851  m: setvar gfx_fullscreen = "1"
(18796) 16:49:14.851  m: setvar gfx_refreshrate = "0"
(18796) 16:49:14.851  d: Could not parse screen resolution settings, using defaults
(18796) 16:49:14.853  m: setvar gfx_resolution = "1920x1080"
(18796) 16:49:14.853  m: setvar gfx_vsync = "1"
(18796) 16:49:14.872  m: setvar grass_fade_distance = "100"
(18796) 16:49:14.872  m: setvar language = "ru-RU"
(18796) 16:49:14.872  m: setvar pfx_enable = "1"
(18796) 16:49:14.872  m: setvar pfx_sharp_enable = "1"
(18796) 16:49:14.872  m: setvar shadows = "1"
(18796) 16:49:14.872  m: setvar shadow_terrain = "1"
(18796) 16:49:14.872  m: setvar shadowPCF4_enable = "1"
(18796) 16:49:14.872  m: setvar waterrefl = "1"
(18796) 16:49:14.892  m: Executing "user.cfg"
(18796) 16:49:14.892  m: setvar app_always_active = "0"
(18796) 16:49:14.892  m: setvar bloomEnable = "1"
(18796) 16:49:14.892  m: setvar camera_link_to_hero = "-1"
(18796) 16:49:14.892  E: setvar error: camera_pitch value '-0' cannot be verified
(18796) 16:49:14.892  E: setvar error: camera_rod value '0' cannot be verified
(18796) 16:49:14.892  m: setvar casual_control_style = "1"
(18796) 16:49:14.892  m: setvar common_graphics_quality = "1"
(18796) 16:49:14.892  m: setvar common_volume = "1"
(18796) 16:49:14.892  m: setvar console_limit = "100"
(18796) 16:49:14.892  m: setvar console_opacity = "0.4"
(18796) 16:49:14.892  m: setvar console_peep = "0"
(18796) 16:49:14.892  m: setvar console_size = "0.5"
(18796) 16:49:14.892  m: setvar console_sweep_time = "0.25"
(18796) 16:49:14.892  m: setvar current_pet = "-1"
(18796) 16:49:14.892  m: setvar enableRESZ = "0"
(18796) 16:49:14.892  m: setvar enable_cursor_clip = "1"
(18796) 16:49:14.892  m: setvar enable_replay = "1"
(18796) 16:49:14.892  m: setvar gfx_fullscreen = "1"
(18796) 16:49:14.892  m: setvar gfx_refreshrate = "0"
(18796) 16:49:14.892  m: setvar gfx_resolution = "1920x1080"
