Local time: +3:00 UTC
ProcessId: 13360
(5188) 21:59:57.787  d: System runned under native Windows
(5188) 21:59:57.788  m: Starting in normal mode
(5188) 21:59:57.788  m: Executing "default.cfg"
(5188) 21:59:57.789  m: setvar app_always_active = "0"
(5188) 21:59:57.789  m: setvar bloomEnable = "1"
(5188) 21:59:57.789  m: setvar gfx_fullscreen = "1"
(5188) 21:59:57.789  m: setvar gfx_refreshrate = "0"
(5188) 21:59:57.790  d: Could not parse screen resolution settings, using defaults
(5188) 21:59:57.792  m: setvar gfx_resolution = "1920x1080"
(5188) 21:59:57.792  m: setvar gfx_vsync = "1"
(5188) 21:59:57.792  m: setvar grass_fade_distance = "100"
(5188) 21:59:57.792  m: setvar language = "ru-RU"
(5188) 21:59:57.792  m: setvar pfx_enable = "1"
(5188) 21:59:57.792  m: setvar pfx_sharp_enable = "1"
(5188) 21:59:57.792  m: setvar shadows = "1"
(5188) 21:59:57.792  m: setvar shadow_terrain = "1"
(5188) 21:59:57.792  m: setvar shadowPCF4_enable = "1"
(5188) 21:59:57.792  m: setvar waterrefl = "1"
(5188) 21:59:57.793  m: Executing "user.cfg"
(5188) 21:59:57.793  m: setvar app_always_active = "0"
(5188) 21:59:57.793  m: setvar bloomEnable = "1"
(5188) 21:59:57.793  m: setvar camera_link_to_hero = "-1"
(5188) 21:59:57.793  m: setvar camera_pitch = "53.1567"
(5188) 21:59:57.793  m: setvar camera_rod = "55.0846"
(5188) 21:59:57.793  m: setvar casual_control_style = "1"
(5188) 21:59:57.793  m: setvar common_graphics_quality = "1"
(5188) 21:59:57.793  m: setvar common_volume = "1"
(5188) 21:59:57.793  m: setvar console_limit = "100"
(5188) 21:59:57.793  m: setvar console_opacity = "0.4"
(5188) 21:59:57.793  m: setvar console_peep = "0"
(5188) 21:59:57.794  m: setvar console_size = "0.5"
(5188) 21:59:57.794  m: setvar console_sweep_time = "0.25"
(5188) 21:59:57.794  m: setvar current_pet = "-1"
(5188) 21:59:57.794  m: setvar enableRESZ = "0"
(5188) 21:59:57.794  m: setvar enable_cursor_clip = "1"
(5188) 21:59:57.794  m: setvar enable_replay = "1"
(5188) 21:59:57.794  m: setvar gfx_fullscreen = "1"
(5188) 21:59:57.794  m: setvar gfx_refreshrate = "0"
(5188) 21:59:57.794  m: setvar gfx_resolution = "1920x1080"
(5188) 21:59:57.794  m: setvar gfx_scale3D = "1"
(5188) 21:59:57.794  m: setvar gfx_skip_mip_levels = "0"
(5188) 21:59:57.794  m: setvar gfx_vsync = "1"
(5188) 21:59:57.794  m: setvar grass_fade_distance = "100"
(5188) 21:59:57.794  m: setvar grass_fade_length = "100"
(5188) 21:59:57.794  m: setvar last_map = ""
(5188) 21:59:57.794  m: setvar lock_actionbar = "0"
(5188) 21:59:57.794  m: setvar lock_camera = "0"
(5188) 21:59:57.794  m: setvar minimap_rotate = "0"
(5188) 21:59:57.794  m: setvar music_volume = "0"
(5188) 21:59:57.794  m: setvar pfx_enable = "1"
(5188) 21:59:57.794  m: setvar pfx_read_enable = "1"
(5188) 21:59:57.794  m: setvar pfx_sharp_enable = "1"
(5188) 21:59:57.794  m: setvar register_replay_extention = "1"
(5188) 21:59:57.794  m: setvar rndr_disableTriLinear = "0"
(5188) 21:59:57.794  m: setvar screenshot_ext = "jpg"
(5188) 21:59:57.794  m: setvar session_camera = ""
(5188) 21:59:57.794  m: setvar session_chat_off = "0"
(5188) 21:59:57.795  m: setvar shadowMapScale = "0.625"
(5188) 21:59:57.795  m: setvar shadowPCF4_enable = "1"
(5188) 21:59:57.795  m: setvar shadowTest = "1"
(5188) 21:59:57.795  m: setvar shadow_terrain = "1"
(5188) 21:59:57.795  m: setvar shadows = "1"
(5188) 21:59:57.795  m: setvar sound_background_enable = "0"
(5188) 21:59:57.795  m: setvar sound_volume = "0.030303"
(5188) 21:59:57.795  m: setvar use_badwords_filter = "0"
(5188) 21:59:57.795  m: setvar voice_volume = "0"
