Local time: +3:00 UTC
ProcessId: 19404
(11860) 11:57:31.745  d: System runned under native Windows
(11860) 11:57:31.746  m: Starting in normal mode
(11860) 11:57:31.746  m: Executing "default.cfg"
(11860) 11:57:31.747  m: setvar app_always_active = "0"
(11860) 11:57:31.747  m: setvar bloomEnable = "1"
(11860) 11:57:31.747  m: setvar gfx_fullscreen = "1"
(11860) 11:57:31.747  m: setvar gfx_refreshrate = "0"
(11860) 11:57:31.748  d: Could not parse screen resolution settings, using defaults
(11860) 11:57:31.750  m: setvar gfx_resolution = "1920x1080"
(11860) 11:57:31.750  m: setvar gfx_vsync = "1"
(11860) 11:57:31.751  m: setvar grass_fade_distance = "100"
(11860) 11:57:31.751  m: setvar language = "ru-RU"
(11860) 11:57:31.751  m: setvar pfx_enable = "1"
(11860) 11:57:31.751  m: setvar pfx_sharp_enable = "1"
(11860) 11:57:31.751  m: setvar shadows = "1"
(11860) 11:57:31.751  m: setvar shadow_terrain = "1"
(11860) 11:57:31.751  m: setvar shadowPCF4_enable = "1"
(11860) 11:57:31.751  m: setvar waterrefl = "1"
(11860) 11:57:31.751  m: Executing "user.cfg"
(11860) 11:57:31.752  m: setvar app_always_active = "0"
(11860) 11:57:31.752  m: setvar bloomEnable = "1"
(11860) 11:57:31.752  m: setvar camera_link_to_hero = "-1"
(11860) 11:57:31.752  E: setvar error: camera_pitch value '-0' cannot be verified
(11860) 11:57:31.752  E: setvar error: camera_rod value '0' cannot be verified
(11860) 11:57:31.752  m: setvar casual_control_style = "1"
(11860) 11:57:31.752  m: setvar common_graphics_quality = "1"
(11860) 11:57:31.752  m: setvar common_volume = "1"
(11860) 11:57:31.752  m: setvar console_limit = "100"
(11860) 11:57:31.752  m: setvar console_opacity = "0.4"
(11860) 11:57:31.752  m: setvar console_peep = "0"
(11860) 11:57:31.752  m: setvar console_size = "0.5"
(11860) 11:57:31.752  m: setvar console_sweep_time = "0.25"
(11860) 11:57:31.752  m: setvar current_pet = "-1"
(11860) 11:57:31.752  m: setvar enableRESZ = "0"
(11860) 11:57:31.752  m: setvar enable_cursor_clip = "1"
(11860) 11:57:31.752  m: setvar enable_replay = "1"
(11860) 11:57:31.752  m: setvar gfx_fullscreen = "1"
(11860) 11:57:31.752  m: setvar gfx_refreshrate = "0"
(11860) 11:57:31.752  m: setvar gfx_resolution = "1920x1080"
(11860) 11:57:31.752  m: setvar gfx_scale3D = "1"
(11860) 11:57:31.752  m: setvar gfx_skip_mip_levels = "0"
(11860) 11:57:31.752  m: setvar gfx_vsync = "1"
(11860) 11:57:31.752  m: setvar grass_fade_distance = "100"
(11860) 11:57:31.752  m: setvar grass_fade_length = "100"
(11860) 11:57:31.752  m: setvar last_map = ""
(11860) 11:57:31.752  m: setvar lock_actionbar = "1"
(11860) 11:57:31.752  m: setvar lock_camera = "0"
(11860) 11:57:31.752  m: setvar minimap_rotate = "0"
(11860) 11:57:31.752  m: setvar music_volume = "0"
(11860) 11:57:31.752  m: setvar pfx_enable = "1"
(11860) 11:57:31.752  m: setvar pfx_read_enable = "1"
(11860) 11:57:31.752  m: setvar pfx_sharp_enable = "1"
(11860) 11:57:31.752  m: setvar register_replay_extention = "1"
(11860) 11:57:31.753  m: setvar rndr_disableTriLinear = "0"
(11860) 11:57:31.753  m: setvar screenshot_ext = "jpg"
(11860) 11:57:31.753  m: setvar session_camera = ""
(11860) 11:57:31.753  m: setvar session_chat_off = "0"
(11860) 11:57:31.753  m: setvar shadowMapScale = "0.625"
(11860) 11:57:31.753  m: setvar shadowPCF4_enable = "1"
(11860) 11:57:31.753  m: setvar shadowTest = "1"
(11860) 11:57:31.753  m: setvar shadow_terrain = "1"
(11860) 11:57:31.753  m: setvar shadows = "1"
(11860) 11:57:31.753  m: setvar sound_background_enable = "0"
(11860) 11:57:31.753  m: setvar sound_volume = "0.111111"
(11860) 11:57:31.753  m: setvar use_badwords_filter = "0"
(11860) 11:57:31.753  m: setvar voice_volume = "0"
(11860) 11:57:31.753  m: setvar waterReflCoeff = "0.5"
(11860) 11:57:31.753  m: setvar waterrefl = "1"
(11860) 11:57:31.753  m: setvar window_pos_x = "963"
(11860) 11:57:31.753  m: setvar window_pos_y = "565"
(11860) 11:57:31.754  m: Executing "lang.cfg"
(11860) 11:57:31.754  m: setvar language = "ru-RU"
(11860) 11:57:31.754  m: Executing "social.cfg"
(11860) 11:57:31.754  m: setvar social_login_address = "http://ru.pwcastle.nivalnetwork.com:88/"
(11860) 11:57:31.754  d: Fullscreen: 1
(11860) 11:57:31.765  d: Connection with lobby established
(11860) 11:57:31.767  d: ComPtr: GetAddr
(11860) 11:57:31.789  d: ComPtr: GetAddr
(11860) 11:57:31.790  d: ComPtr: Assign 14f2cc4 INC
(11860) 11:57:31.793  d: ComPtr: Assign 14f2cc4 INC
(11860) 11:57:31.793  d: ComPtr: Free 14f2cc4 DEC
(11860) 11:57:31.793  d: ComPtr: Free 14f2cc4 DEC
(11860) 11:57:31.793  d: ComPtr: GetAddr
(11860) 11:57:31.794  d: ComPtr: Assign 14f3204 INC
(11860) 11:57:31.796  d: ComPtr: Assign 14f2cc4 INC
(11860) 11:57:31.796  d: ComPtr: Assign 14f3204 INC
(11860) 11:57:31.796  d: ComPtr: Free 14f2cc4 DEC
(11860) 11:57:31.796  d: ComPtr: Free 14f3204 DEC
(11860) 11:57:31.796  d: ComPtr: Free 14f3204 DEC
(11860) 11:57:31.831  d: Pile file 'D:\Games\Prime World\PvP\Packs\data06.pile' found
(11860) 11:57:31.838  d: Pile file 'D:\Games\Prime World\PvP\Packs\data05.pile' found
(11860) 11:57:31.841  d: Pile file 'D:\Games\Prime World\PvP\Packs\data04.pile' found
(11860) 11:57:31.845  d: Pile file 'D:\Games\Prime World\PvP\Packs\data03.pile' found
(11860) 11:57:31.848  d: Pile file 'D:\Games\Prime World\PvP\Packs\data02.pile' found
(11860) 11:57:31.852  d: Pile file 'D:\Games\Prime World\PvP\Packs\data01.pile' found
(11860) 11:57:31.870  d: Pile file 'D:\Games\Prime World\PvP\Packs\_data.pile' found
(11860) 11:57:31.870  d: Pile file 'D:\Games\Prime World\PvP\Data\Localization\ru-RU\localisation_files.pile' found
(11860) 11:57:31.961  m: Executing "game.cfg"
(11860) 11:57:31.961  m: setvar stat_client_url = "http://gs.playpw.com/gstat0/"
(11860) 11:57:31.961  m: Value 'use_smooth_turns' is not registered
(11860) 11:57:31.961  m: setvar use_smooth_turns = "1"
(11860) 11:57:31.961  m: setvar rdp_log_events = "3079"
(11860) 11:57:31.961  m: Executing "input.cfg"
(11860) 11:57:31.963  m: Unknown command or variable "parentWidth"
(11860) 11:57:31.963  m: Type 'help' to list available commands
(11860) 11:57:31.964  m: Executing "input.cfg"
(11860) 11:57:32.014  m: Executing "smart_chat.cfg"
(11860) 11:57:32.212  m: UDP transport login address: 213.196.39.251:35001@10
(11860) 11:57:32.213  d: Previous SO_SNDBUF=65536
