Local time: +3:00 UTC
ProcessId: 16732
(1556) 03:50:51.748  d: System runned under native Windows
(1556) 03:50:51.749  m: Starting in normal mode
(1556) 03:50:51.749  m: Executing "default.cfg"
(1556) 03:50:51.749  m: setvar app_always_active = "0"
(1556) 03:50:51.749  m: setvar bloomEnable = "1"
(1556) 03:50:51.749  m: setvar gfx_fullscreen = "1"
(1556) 03:50:51.749  m: setvar gfx_refreshrate = "0"
(1556) 03:50:51.749  d: Could not parse screen resolution settings, using defaults
(1556) 03:50:51.751  m: setvar gfx_resolution = "1920x1080"
(1556) 03:50:51.751  m: setvar gfx_vsync = "1"
(1556) 03:50:51.751  m: setvar grass_fade_distance = "100"
(1556) 03:50:51.751  m: setvar language = "ru-RU"
(1556) 03:50:51.751  m: setvar pfx_enable = "1"
(1556) 03:50:51.751  m: setvar pfx_sharp_enable = "1"
(1556) 03:50:51.751  m: setvar shadows = "1"
(1556) 03:50:51.751  m: setvar shadow_terrain = "1"
(1556) 03:50:51.751  m: setvar shadowPCF4_enable = "1"
(1556) 03:50:51.752  m: setvar waterrefl = "1"
(1556) 03:50:51.752  m: Executing "user.cfg"
(1556) 03:50:51.752  m: setvar app_always_active = "0"
(1556) 03:50:51.752  m: setvar bloomEnable = "1"
(1556) 03:50:51.752  m: setvar camera_link_to_hero = "-1"
(1556) 03:50:51.752  m: setvar camera_pitch = "53.1567"
(1556) 03:50:51.752  m: setvar camera_rod = "55.0846"
(1556) 03:50:51.752  m: setvar casual_control_style = "1"
(1556) 03:50:51.752  m: setvar common_graphics_quality = "1"
(1556) 03:50:51.752  m: setvar common_volume = "1"
(1556) 03:50:51.752  m: setvar console_limit = "100"
(1556) 03:50:51.752  m: setvar console_opacity = "0.4"
(1556) 03:50:51.752  m: setvar console_peep = "0"
(1556) 03:50:51.752  m: setvar console_size = "0.5"
(1556) 03:50:51.752  m: setvar console_sweep_time = "0.25"
(1556) 03:50:51.752  m: setvar current_pet = "-1"
(1556) 03:50:51.752  m: setvar enableRESZ = "0"
(1556) 03:50:51.752  m: setvar enable_cursor_clip = "1"
(1556) 03:50:51.752  m: setvar enable_replay = "1"
(1556) 03:50:51.752  m: setvar gfx_fullscreen = "1"
(1556) 03:50:51.752  m: setvar gfx_refreshrate = "0"
(1556) 03:50:51.752  m: setvar gfx_resolution = "1920x1080"
(1556) 03:50:51.752  m: setvar gfx_scale3D = "1"
(1556) 03:50:51.752  m: setvar gfx_skip_mip_levels = "0"
(1556) 03:50:51.752  m: setvar gfx_vsync = "1"
(1556) 03:50:51.752  m: setvar grass_fade_distance = "100"
(1556) 03:50:51.752  m: setvar grass_fade_length = "100"
(1556) 03:50:51.752  m: setvar last_map = ""
(1556) 03:50:51.752  m: setvar lock_actionbar = "0"
(1556) 03:50:51.753  m: setvar lock_camera = "0"
(1556) 03:50:51.753  m: setvar minimap_rotate = "0"
(1556) 03:50:51.753  m: setvar music_volume = "0"
(1556) 03:50:51.753  m: setvar pfx_enable = "1"
(1556) 03:50:51.753  m: setvar pfx_read_enable = "1"
(1556) 03:50:51.753  m: setvar pfx_sharp_enable = "1"
(1556) 03:50:51.753  m: setvar register_replay_extention = "1"
(1556) 03:50:51.753  m: setvar rndr_disableTriLinear = "0"
(1556) 03:50:51.753  m: setvar screenshot_ext = "jpg"
(1556) 03:50:51.753  m: setvar session_camera = ""
(1556) 03:50:51.753  m: setvar session_chat_off = "0"
(1556) 03:50:51.753  m: setvar shadowMapScale = "0.625"
(1556) 03:50:51.753  m: setvar shadowPCF4_enable = "1"
(1556) 03:50:51.753  m: setvar shadowTest = "1"
(1556) 03:50:51.753  m: setvar shadow_terrain = "1"
(1556) 03:50:51.753  m: setvar shadows = "1"
(1556) 03:50:51.753  m: setvar sound_background_enable = "0"
(1556) 03:50:51.753  m: setvar sound_volume = "0.121212"
(1556) 03:50:51.753  m: setvar use_badwords_filter = "0"
(1556) 03:50:51.753  m: setvar voice_volume = "0"
(1556) 03:50:51.753  m: setvar waterReflCoeff = "0.5"
(1556) 03:50:51.753  m: setvar waterrefl = "1"
(1556) 03:50:51.753  m: setvar window_pos_x = "963"
(1556) 03:50:51.753  m: setvar window_pos_y = "565"
(1556) 03:50:51.753  m: Executing "lang.cfg"
(1556) 03:50:51.753  m: setvar language = "ru-RU"
(1556) 03:50:51.753  m: Executing "social.cfg"
(1556) 03:50:51.753  m: setvar social_login_address = "http://ru.pwcastle.nivalnetwork.com:88/"
(1556) 03:50:51.753  d: Fullscreen: 1
(1556) 03:50:51.765  d: Connection with lobby established
(1556) 03:50:51.765  d: ComPtr: GetAddr
(1556) 03:50:51.796  d: ComPtr: GetAddr
(1556) 03:50:51.797  d: ComPtr: Assign 16b568c INC
(1556) 03:50:51.797  d: ComPtr: Assign 16b568c INC
(1556) 03:50:51.797  d: ComPtr: Free 16b568c DEC
(1556) 03:50:51.797  d: ComPtr: Free 16b568c DEC
(1556) 03:50:51.797  d: ComPtr: GetAddr
(1556) 03:50:51.799  d: ComPtr: Assign 16b58cc INC
(1556) 03:50:51.800  d: ComPtr: Assign 16b568c INC
(1556) 03:50:51.800  d: ComPtr: Assign 16b58cc INC
(1556) 03:50:51.800  d: ComPtr: Free 16b568c DEC
(1556) 03:50:51.800  d: ComPtr: Free 16b58cc DEC
(1556) 03:50:51.800  d: ComPtr: Free 16b58cc DEC
(1556) 03:50:51.833  d: Pile file 'D:\Games\Prime World Ч копи€ (2)\PvP\Packs\data06.pile' found
(1556) 03:50:51.840  d: Pile file 'D:\Games\Prime World Ч копи€ (2)\PvP\Packs\data05.pile' found
(1556) 03:50:51.843  d: Pile file 'D:\Games\Prime World Ч копи€ (2)\PvP\Packs\data04.pile' found
(1556) 03:50:51.846  d: Pile file 'D:\Games\Prime World Ч копи€ (2)\PvP\Packs\data03.pile' found
(1556) 03:50:51.849  d: Pile file 'D:\Games\Prime World Ч копи€ (2)\PvP\Packs\data02.pile' found
(1556) 03:50:51.854  d: Pile file 'D:\Games\Prime World Ч копи€ (2)\PvP\Packs\data01.pile' found
(1556) 03:50:51.872  d: Pile file 'D:\Games\Prime World Ч копи€ (2)\PvP\Packs\_data.pile' found
(1556) 03:50:51.872  d: Pile file 'D:\Games\Prime World Ч копи€ (2)\PvP\Data\Localization\ru-RU\localisation_files.pile' found
(1556) 03:50:51.964  m: Executing "game.cfg"
(1556) 03:50:51.964  m: setvar stat_client_url = "http://gs.playpw.com/gstat0/"
(1556) 03:50:51.964  m: Value 'use_smooth_turns' is not registered
(1556) 03:50:51.964  m: setvar use_smooth_turns = "1"
(1556) 03:50:51.964  m: setvar rdp_log_events = "3079"
(1556) 03:50:51.964  m: Executing "input.cfg"
(1556) 03:50:51.967  m: Unknown command or variable "parentWidth"
(1556) 03:50:51.967  m: Type 'help' to list available commands
(1556) 03:50:51.967  m: Executing "input.cfg"
(1556) 03:50:52.015  m: Executing "smart_chat.cfg"
(1556) 03:50:52.226  m: UDP transport login address: 92.242.35.3:35007@10
(1556) 03:50:52.226  d: Previous SO_SNDBUF=65536
(1556) 03:50:52.226  d: New SO_SNDBUF=65536
(1556) 03:50:52.226  d: Previous SO_RCVBUF=65536
(1556) 03:50:52.226  d: New SO_RCVBUF=65536
(1556) 03:50:52.226  m: Socket opened. addr=34990, sock=1432
(1556) 03:50:52.226  m: Starting outgoing connection. local=34990, remote=92.242.35.3:35007, mux=10
(1556) 03:50:52.226  m: Cannot read configuration file "D:\Games\Prime World Ч копи€ (2)\PvP\Profiles\autoexec.cfg"
(13948) 03:50:52.228  m: Sending INIT. descr=(92.242.35.3:35007 58398:10), seq=10910
(6664) 03:50:52.232  m: UDP socket perfomance debug. addr=34990, recv=1, recv_tm=0.02, deliver_tm=0.00, send=1, send_tm=0.00
(13948) 03:50:52.234  m: ACK sent. descr=(92.242.35.3:35007 58398:10), seq=10910, stage=Active_WaitingInitAck
(13948) 03:50:52.234  m: Active connection handshake completed. descr=(92.242.35.3:35007 58398:10), seq=10910
(13948) 03:50:52.248  m: LoginClient: Got login reply. code=Success(5), uid=5599879, welcome=ru1/lobby/3
(1556) 03:50:52.477  d: OnDeviceChanged
