Local time: +3:00 UTC
ProcessId: 7420
(13472) 05:13:41.925  d: System runned under native Windows
(13472) 05:13:41.926  m: Starting in normal mode
(13472) 05:13:41.926  m: Executing "default.cfg"
(13472) 05:13:41.926  m: setvar app_always_active = "0"
(13472) 05:13:41.926  m: setvar bloomEnable = "1"
(13472) 05:13:41.926  m: setvar gfx_fullscreen = "1"
(13472) 05:13:41.926  m: setvar gfx_refreshrate = "0"
(13472) 05:13:41.926  d: Could not parse screen resolution settings, using defaults
(13472) 05:13:41.928  m: setvar gfx_resolution = "1920x1080"
(13472) 05:13:41.928  m: setvar gfx_vsync = "1"
(13472) 05:13:41.928  m: setvar grass_fade_distance = "100"
(13472) 05:13:41.928  m: setvar language = "ru-RU"
(13472) 05:13:41.928  m: setvar pfx_enable = "1"
(13472) 05:13:41.928  m: setvar pfx_sharp_enable = "1"
(13472) 05:13:41.928  m: setvar shadows = "1"
(13472) 05:13:41.928  m: setvar shadow_terrain = "1"
(13472) 05:13:41.929  m: setvar shadowPCF4_enable = "1"
(13472) 05:13:41.929  m: setvar waterrefl = "1"
(13472) 05:13:41.929  m: Executing "user.cfg"
(13472) 05:13:41.929  m: setvar app_always_active = "0"
(13472) 05:13:41.929  m: setvar bloomEnable = "1"
(13472) 05:13:41.929  m: setvar camera_link_to_hero = "-1"
(13472) 05:13:41.929  m: setvar camera_pitch = "53.1567"
(13472) 05:13:41.929  m: setvar camera_rod = "55.0846"
(13472) 05:13:41.929  m: setvar casual_control_style = "1"
(13472) 05:13:41.929  m: setvar common_graphics_quality = "1"
(13472) 05:13:41.929  m: setvar common_volume = "1"
(13472) 05:13:41.929  m: setvar console_limit = "100"
(13472) 05:13:41.929  m: setvar console_opacity = "0.4"
(13472) 05:13:41.929  m: setvar console_peep = "0"
(13472) 05:13:41.929  m: setvar console_size = "0.5"
(13472) 05:13:41.929  m: setvar console_sweep_time = "0.25"
(13472) 05:13:41.929  m: setvar current_pet = "-1"
(13472) 05:13:41.929  m: setvar enableRESZ = "0"
(13472) 05:13:41.929  m: setvar enable_cursor_clip = "1"
(13472) 05:13:41.929  m: setvar enable_replay = "1"
(13472) 05:13:41.929  m: setvar gfx_fullscreen = "1"
(13472) 05:13:41.930  m: setvar gfx_refreshrate = "0"
(13472) 05:13:41.930  m: setvar gfx_resolution = "1920x1080"
(13472) 05:13:41.930  m: setvar gfx_scale3D = "1"
(13472) 05:13:41.930  m: setvar gfx_skip_mip_levels = "0"
(13472) 05:13:41.930  m: setvar gfx_vsync = "1"
(13472) 05:13:41.930  m: setvar grass_fade_distance = "100"
(13472) 05:13:41.930  m: setvar grass_fade_length = "100"
(13472) 05:13:41.930  m: setvar last_map = ""
(13472) 05:13:41.930  m: setvar lock_actionbar = "0"
(13472) 05:13:41.930  m: setvar lock_camera = "0"
(13472) 05:13:41.930  m: setvar minimap_rotate = "0"
(13472) 05:13:41.930  m: setvar music_volume = "0"
(13472) 05:13:41.930  m: setvar pfx_enable = "1"
(13472) 05:13:41.930  m: setvar pfx_read_enable = "1"
(13472) 05:13:41.930  m: setvar pfx_sharp_enable = "1"
(13472) 05:13:41.930  m: setvar register_replay_extention = "1"
(13472) 05:13:41.930  m: setvar rndr_disableTriLinear = "0"
(13472) 05:13:41.930  m: setvar screenshot_ext = "jpg"
(13472) 05:13:41.930  m: setvar session_camera = ""
(13472) 05:13:41.930  m: setvar session_chat_off = "0"
(13472) 05:13:41.930  m: setvar shadowMapScale = "0.625"
(13472) 05:13:41.930  m: setvar shadowPCF4_enable = "1"
(13472) 05:13:41.930  m: setvar shadowTest = "1"
(13472) 05:13:41.930  m: setvar shadow_terrain = "1"
(13472) 05:13:41.930  m: setvar shadows = "1"
(13472) 05:13:41.930  m: setvar sound_background_enable = "0"
(13472) 05:13:41.930  m: setvar sound_volume = "0.121212"
(13472) 05:13:41.930  m: setvar use_badwords_filter = "0"
(13472) 05:13:41.930  m: setvar voice_volume = "0"
(13472) 05:13:41.930  m: setvar waterReflCoeff = "0.5"
(13472) 05:13:41.930  m: setvar waterrefl = "1"
(13472) 05:13:41.930  m: setvar window_pos_x = "963"
(13472) 05:13:41.931  m: setvar window_pos_y = "565"
(13472) 05:13:41.931  m: Executing "lang.cfg"
(13472) 05:13:41.931  m: setvar language = "ru-RU"
(13472) 05:13:41.931  m: Executing "social.cfg"
(13472) 05:13:41.931  m: setvar social_login_address = "http://ru.pwcastle.nivalnetwork.com:88/"
(13472) 05:13:41.931  d: Fullscreen: 1
(13472) 05:13:41.944  d: Connection with lobby established
(13472) 05:13:41.945  d: ComPtr: GetAddr
(13472) 05:13:41.967  d: ComPtr: GetAddr
(13472) 05:13:41.968  d: ComPtr: Assign 1606f44 INC
(13472) 05:13:41.968  d: ComPtr: Assign 1606f44 INC
(13472) 05:13:41.968  d: ComPtr: Free 1606f44 DEC
(13472) 05:13:41.968  d: ComPtr: Free 1606f44 DEC
(13472) 05:13:41.968  d: ComPtr: GetAddr
(13472) 05:13:41.973  d: ComPtr: Assign 160707c INC
(13472) 05:13:41.974  d: ComPtr: Assign 1606f44 INC
(13472) 05:13:41.974  d: ComPtr: Assign 160707c INC
(13472) 05:13:41.974  d: ComPtr: Free 1606f44 DEC
(13472) 05:13:41.974  d: ComPtr: Free 160707c DEC
(13472) 05:13:41.974  d: ComPtr: Free 160707c DEC
(13472) 05:13:42.010  d: Pile file 'D:\Games\Prime World — копия (2)\PvP\Packs\data06.pile' found
(13472) 05:13:42.016  d: Pile file 'D:\Games\Prime World — копия (2)\PvP\Packs\data05.pile' found
(13472) 05:13:42.019  d: Pile file 'D:\Games\Prime World — копия (2)\PvP\Packs\data04.pile' found
(13472) 05:13:42.023  d: Pile file 'D:\Games\Prime World — копия (2)\PvP\Packs\data03.pile' found
(13472) 05:13:42.026  d: Pile file 'D:\Games\Prime World — копия (2)\PvP\Packs\data02.pile' found
(13472) 05:13:42.031  d: Pile file 'D:\Games\Prime World — копия (2)\PvP\Packs\data01.pile' found
(13472) 05:13:42.048  d: Pile file 'D:\Games\Prime World — копия (2)\PvP\Packs\_data.pile' found
(13472) 05:13:42.049  d: Pile file 'D:\Games\Prime World — копия (2)\PvP\Data\Localization\ru-RU\localisation_files.pile' found
(13472) 05:13:42.145  m: Executing "game.cfg"
(13472) 05:13:42.146  m: setvar stat_client_url = "http://gs.playpw.com/gstat0/"
(13472) 05:13:42.146  m: Value 'use_smooth_turns' is not registered
(13472) 05:13:42.146  m: setvar use_smooth_turns = "1"
(13472) 05:13:42.146  m: setvar rdp_log_events = "3079"
(13472) 05:13:42.146  m: Executing "input.cfg"
(13472) 05:13:42.148  m: Unknown command or variable "parentWidth"
(13472) 05:13:42.149  m: Type 'help' to list available commands
(13472) 05:13:42.149  m: Executing "input.cfg"
(13472) 05:13:42.200  m: Executing "smart_chat.cfg"
(13472) 05:13:42.421  m: UDP transport login address: 92.242.35.3:35007@10
(13472) 05:13:42.421  d: Previous SO_SNDBUF=65536
(13472) 05:13:42.421  d: New SO_SNDBUF=65536
(13472) 05:13:42.421  d: Previous SO_RCVBUF=65536
(13472) 05:13:42.421  d: New SO_RCVBUF=65536
(13472) 05:13:42.421  m: Socket opened. addr=34990, sock=2188
(13472) 05:13:42.421  m: Starting outgoing connection. local=34990, remote=92.242.35.3:35007, mux=10
(13472) 05:13:42.421  m: Cannot read configuration file "D:\Games\Prime World — копия (2)\PvP\Profiles\autoexec.cfg"
(10392) 05:13:42.423  m: Sending INIT. descr=(92.242.35.3:35007 39879:10), seq=23543
(14468) 05:13:42.427  m: UDP socket perfomance debug. addr=34990, recv=1, recv_tm=0.02, deliver_tm=0.00, send=1, send_tm=0.00
(10392) 05:13:42.429  m: ACK sent. descr=(92.242.35.3:35007 39879:10), seq=23543, stage=Active_WaitingInitAck
(10392) 05:13:42.429  m: Active connection handshake completed. descr=(92.242.35.3:35007 39879:10), seq=23543
(10392) 05:13:42.449  m: LoginClient: Got login reply. code=Success(5), uid=5599879, welcome=ru1/lobby/2
(13472) 05:13:42.638  d: OnDeviceChanged
(13472) 05:13:42.638  d: NotifyDeviceCreate
(13472) 05:13:42.657  d: DepthFormat: INTZ
