Local time: +3:00 UTC
ProcessId: 7104
(0200) 17:27:25.671  d: System runned under native Windows
(0200) 17:27:25.672  m: Starting in normal mode
(0200) 17:27:25.672  m: Executing "default.cfg"
(0200) 17:27:25.672  m: setvar app_always_active = "0"
(0200) 17:27:25.672  m: setvar bloomEnable = "1"
(0200) 17:27:25.672  m: setvar gfx_fullscreen = "1"
(0200) 17:27:25.672  m: setvar gfx_refreshrate = "0"
(0200) 17:27:25.672  d: Could not parse screen resolution settings, using defaults
(0200) 17:27:25.675  m: setvar gfx_resolution = "1920x1080"
(0200) 17:27:25.675  m: setvar gfx_vsync = "1"
(0200) 17:27:25.675  m: setvar grass_fade_distance = "100"
(0200) 17:27:25.675  m: setvar language = "ru-RU"
(0200) 17:27:25.675  m: setvar pfx_enable = "1"
(0200) 17:27:25.675  m: setvar pfx_sharp_enable = "1"
(0200) 17:27:25.675  m: setvar shadows = "1"
(0200) 17:27:25.675  m: setvar shadow_terrain = "1"
(0200) 17:27:25.675  m: setvar shadowPCF4_enable = "1"
(0200) 17:27:25.675  m: setvar waterrefl = "1"
(0200) 17:27:25.675  m: Executing "user.cfg"
(0200) 17:27:25.675  m: setvar app_always_active = "0"
(0200) 17:27:25.675  m: setvar bloomEnable = "1"
(0200) 17:27:25.675  m: setvar camera_link_to_hero = "-1"
(0200) 17:27:25.675  m: setvar camera_pitch = "53.1567"
(0200) 17:27:25.675  m: setvar camera_rod = "55.0846"
(0200) 17:27:25.675  m: setvar casual_control_style = "1"
(0200) 17:27:25.675  m: setvar common_graphics_quality = "1"
(0200) 17:27:25.675  m: setvar common_volume = "1"
(0200) 17:27:25.675  m: setvar console_limit = "100"
(0200) 17:27:25.676  m: setvar console_opacity = "0.4"
(0200) 17:27:25.676  m: setvar console_peep = "0"
(0200) 17:27:25.676  m: setvar console_size = "0.5"
(0200) 17:27:25.676  m: setvar console_sweep_time = "0.25"
(0200) 17:27:25.676  m: setvar current_pet = "-1"
(0200) 17:27:25.676  m: setvar enableRESZ = "0"
(0200) 17:27:25.676  m: setvar enable_cursor_clip = "1"
(0200) 17:27:25.676  m: setvar enable_replay = "1"
(0200) 17:27:25.676  m: setvar gfx_fullscreen = "1"
(0200) 17:27:25.676  m: setvar gfx_refreshrate = "0"
(0200) 17:27:25.676  m: setvar gfx_resolution = "1920x1080"
(0200) 17:27:25.676  m: setvar gfx_scale3D = "1"
(0200) 17:27:25.676  m: setvar gfx_skip_mip_levels = "0"
(0200) 17:27:25.676  m: setvar gfx_vsync = "1"
(0200) 17:27:25.676  m: setvar grass_fade_distance = "100"
(0200) 17:27:25.676  m: setvar grass_fade_length = "100"
(0200) 17:27:25.676  m: setvar last_map = ""
(0200) 17:27:25.676  m: setvar lock_actionbar = "0"
(0200) 17:27:25.676  m: setvar lock_camera = "0"
(0200) 17:27:25.676  m: setvar minimap_rotate = "0"
(0200) 17:27:25.676  m: setvar music_volume = "0"
(0200) 17:27:25.676  m: setvar pfx_enable = "1"
(0200) 17:27:25.676  m: setvar pfx_read_enable = "1"
(0200) 17:27:25.676  m: setvar pfx_sharp_enable = "1"
(0200) 17:27:25.676  m: setvar register_replay_extention = "1"
(0200) 17:27:25.676  m: setvar rndr_disableTriLinear = "0"
(0200) 17:27:25.676  m: setvar screenshot_ext = "jpg"
(0200) 17:27:25.676  m: setvar session_camera = ""
(0200) 17:27:25.676  m: setvar session_chat_off = "0"
(0200) 17:27:25.676  m: setvar shadowMapScale = "0.625"
(0200) 17:27:25.676  m: setvar shadowPCF4_enable = "1"
(0200) 17:27:25.677  m: setvar shadowTest = "1"
(0200) 17:27:25.677  m: setvar shadow_terrain = "1"
(0200) 17:27:25.677  m: setvar shadows = "1"
(0200) 17:27:25.677  m: setvar sound_background_enable = "0"
(0200) 17:27:25.677  m: setvar sound_volume = "0.121212"
(0200) 17:27:25.677  m: setvar use_badwords_filter = "0"
(0200) 17:27:25.677  m: setvar voice_volume = "0"
(0200) 17:27:25.677  m: setvar waterReflCoeff = "0.5"
(0200) 17:27:25.677  m: setvar waterrefl = "1"
(0200) 17:27:25.677  m: setvar window_pos_x = "963"
(0200) 17:27:25.677  m: setvar window_pos_y = "565"
(0200) 17:27:25.677  m: Executing "lang.cfg"
(0200) 17:27:25.677  m: setvar language = "ru-RU"
(0200) 17:27:25.677  m: Executing "social.cfg"
(0200) 17:27:25.678  m: setvar social_login_address = "http://ru.pwcastle.nivalnetwork.com:88/"
(0200) 17:27:25.678  d: Fullscreen: 1
(0200) 17:27:25.685  d: Connection with lobby established
(0200) 17:27:25.685  d: ComPtr: GetAddr
(0200) 17:27:25.695  d: ComPtr: GetAddr
(0200) 17:27:25.695  d: ComPtr: Assign 14bb82c INC
(0200) 17:27:25.695  d: ComPtr: Assign 14bb82c INC
(0200) 17:27:25.695  d: ComPtr: Free 14bb82c DEC
(0200) 17:27:25.695  d: ComPtr: Free 14bb82c DEC
(0200) 17:27:25.696  d: ComPtr: GetAddr
(0200) 17:27:25.699  d: ComPtr: Assign 14bbe74 INC
(0200) 17:27:25.699  d: ComPtr: Assign 14bb82c INC
(0200) 17:27:25.699  d: ComPtr: Assign 14bbe74 INC
(0200) 17:27:25.699  d: ComPtr: Free 14bb82c DEC
(0200) 17:27:25.699  d: ComPtr: Free 14bbe74 DEC
(0200) 17:27:25.699  d: ComPtr: Free 14bbe74 DEC
(0200) 17:27:25.736  d: Pile file 'D:\Games\Prime World\PvP\Packs\data06.pile' found
(0200) 17:27:25.743  d: Pile file 'D:\Games\Prime World\PvP\Packs\data05.pile' found
(0200) 17:27:25.746  d: Pile file 'D:\Games\Prime World\PvP\Packs\data04.pile' found
(0200) 17:27:25.750  d: Pile file 'D:\Games\Prime World\PvP\Packs\data03.pile' found
(0200) 17:27:25.753  d: Pile file 'D:\Games\Prime World\PvP\Packs\data02.pile' found
(0200) 17:27:25.759  d: Pile file 'D:\Games\Prime World\PvP\Packs\data01.pile' found
(0200) 17:27:25.779  d: Pile file 'D:\Games\Prime World\PvP\Packs\_data.pile' found
(0200) 17:27:25.780  d: Pile file 'D:\Games\Prime World\PvP\Data\Localization\ru-RU\localisation_files.pile' found
(0200) 17:27:25.882  m: Executing "game.cfg"
(0200) 17:27:25.882  m: setvar stat_client_url = "http://gs.playpw.com/gstat0/"
(0200) 17:27:25.882  m: Value 'use_smooth_turns' is not registered
(0200) 17:27:25.882  m: setvar use_smooth_turns = "1"
(0200) 17:27:25.882  m: setvar rdp_log_events = "3079"
(0200) 17:27:25.882  m: Executing "input.cfg"
(0200) 17:27:25.885  m: Unknown command or variable "parentWidth"
(0200) 17:27:25.885  m: Type 'help' to list available commands
(0200) 17:27:25.885  m: Executing "input.cfg"
(0200) 17:27:25.936  m: Executing "smart_chat.cfg"
(0200) 17:27:26.169  m: UDP transport login address: 92.242.35.3:35002@10
(0200) 17:27:26.169  d: Previous SO_SNDBUF=65536
(0200) 17:27:26.169  d: New SO_SNDBUF=65536
(0200) 17:27:26.169  d: Previous SO_RCVBUF=65536
(0200) 17:27:26.169  d: New SO_RCVBUF=65536
(0200) 17:27:26.169  m: Socket opened. addr=34990, sock=1104
(0200) 17:27:26.170  m: Starting outgoing connection. local=34990, remote=92.242.35.3:35002, mux=10
(0200) 17:27:26.170  m: Cannot read configuration file "D:\Games\Prime World\PvP\Profiles\autoexec.cfg"
(6196) 17:27:26.172  m: Sending INIT. descr=(92.242.35.3:35002 60725:10), seq=11554
(12284) 17:27:26.176  m: UDP socket perfomance debug. addr=34990, recv=1, recv_tm=0.02, deliver_tm=0.00, send=1, send_tm=0.00
(6196) 17:27:26.178  m: ACK sent. descr=(92.242.35.3:35002 60725:10), seq=11554, stage=Active_WaitingInitAck
(6196) 17:27:26.178  m: Active connection handshake completed. descr=(92.242.35.3:35002 60725:10), seq=11554
(6196) 17:27:26.194  m: LoginClient: Got login reply. code=Success(5), uid=5599879, welcome=ru1/lobby/2
(0200) 17:27:26.449  d: OnDeviceChanged
(0200) 17:27:26.449  d: NotifyDeviceCreate
(0200) 17:27:26.470  d: DepthFormat: INTZ
(0200) 17:27:26.474  m: setvar mipmaplodbias = "0"
(0200) 17:27:26.912  d: FMOD Init OK
(14128) 17:27:26.915  m: Recieving permitted event data
(14128) 17:27:26.915  m: Initializing CURLlib...
(14128) 17:27:26.915  m: Performing HTTP GET: url_len=28, url='http://gs.playpw.com/gstat0/'
(0200) 17:27:27.036  d: Movie::SetViewport (w,h) = (1281, 1025)
(14128) 17:27:27.136  d: HTTP GET performed
(14128) 17:27:27.136  m: Recieved permitted event data. size=52
(14128) 17:27:27.136  m: Got permitted events data. size=52
(14128) 17:27:27.136  m: Got permitted events. methods=5, sessionEvents=6
(0200) 17:27:27.353  d: Failed to open file  with error 3.
(0200) 17:27:27.353  d: Cannot load ttf font: DejaVu LGC Sans
(0200) 17:27:27.402  d: Failed to open file  with error 3.
(0200) 17:27:27.402  d: Cannot load ttf font: _sans
(0200) 17:27:27.424  d: Window FlashScreen got focus
(0200) 17:27:27.425  d: Movie::SetViewport (w,h) = (1281, 1025)
(0200) 17:27:27.427  d: Movie::SetViewport (w,h) = (1821, 1025)
(0200) 17:27:27.430  d: Pref value too low. Please, check config variable 'prefs_common_graphics_quality'
(0200) 17:27:27.430  d: Pref value too low. Please, check config variable 'prefs_common_graphics_quality'
(0200) 17:27:27.558  d: Movie::SetViewport (w,h) = (1821, 1025)
(0200) 17:27:27.566  m: Virtual Memory Usage: 254 mb
(0200) 17:27:27.623  d: Command send: StartRender

(0200) 17:27:27.625  d: Collected 0 persistent events
(0200) 17:27:27.625  m: Connecting to lobby server...
(0200) 17:27:27.625  m: Lobby service path: 'ru1/lobby/2'
(0200) 17:27:27.626  m: Lobby service node id: 'lobby/2'
(0200) 17:27:27.643  m: LoginClient: Creating outgoing service channel. svcid=lobby/2, req_id=1
